city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1803365,Linqiong,CN,30.4159,103.4609,04/30/21,            62.6,100,21,4.47
1488933,Turinsk,RU,58.0458,63.696,04/30/21,            31.24,67,4,5.59
1788852,Xining,CN,36.6167,101.7667,04/30/21,            49.6,35,48,1.52
3662252,São Paulo de Olivença,BR,-3.3783,-68.8725,04/30/21,            72.3,99,99,1.9
2092164,Lorengau,PG,-2.0226,147.2712,04/30/21,            84.04,67,92,1.7
1732826,Mersing,MY,2.4312,103.8405,04/30/21,            75.2,94,100,4.61
3472177,Angra dos Reis,BR,-23.0067,-44.3181,04/30/21,            68,77,40,3.44
5969025,Haines Junction,CA,60.7522,-137.5108,04/30/21,            46.4,42,96,12.66
3901547,Villamontes,BO,-21.25,-63.5,04/30/21,            66.74,52,0,1.63
2173125,Burnie,AU,-41.0667,145.9167,04/30/21,            57,82,87,4
3346821,Ondjiva,AO,-17.0667,15.7333,04/30/21,            65.57,63,48,5.23
935221,Saint-Paul,RE,-21.0096,55.2707,04/30/21,            70.34,88,75,14.97
57000,Hobyo,SO,5.3505,48.5268,04/30/21,            83.66,68,27,8.75
104515,Makkah al Mukarramah,SA,21.4267,39.8261,04/30/21,            83.8,56,99,1.77
2015217,Tokur,RU,53.1333,132.9,04/30/21,            29.08,85,100,3.74
1337606,Eydhafushi,MV,5.1033,73.0708,04/30/21,            82.22,76,46,4.85
3393692,Itarema,BR,-2.9248,-39.9167,04/30/21,            76.96,88,73,8.39
935616,Le Port,RE,-20.9373,55.2919,04/30/21,            70.36,88,75,14.97
2743694,Zuidhorn,NL,53.2467,6.4028,04/30/21,            44.55,100,90,2.3
3420846,Qaqortoq,GL,60.7167,-46.0333,04/30/21,            51.8,30,12,27.63
2151187,Roma,AU,-26.5833,148.7833,04/30/21,            65.46,74,1,12.75
1275926,Bhind,IN,26.5642,78.7883,04/30/21,            86.2,22,28,7.65
3454005,Piaçabuçu,BR,-10.4056,-36.4344,04/30/21,            77.22,85,40,10.51
3655185,Nueva Loja,EC,0.0847,-76.8828,04/30/21,            73.4,100,90,8.05
462522,Zimovniki,RU,47.1483,42.4633,04/30/21,            50.27,88,16,9.48
2126710,Beringovskiy,RU,63.05,179.3167,04/30/21,            24.26,75,84,12.88
3529669,Dzemul,MX,21.2,-89.3,04/30/21,            96.73,26,75,4.61
108410,Riyadh,SA,24.6877,46.7219,04/30/21,            83.98,13,0,4.61
468180,Yekaterinovka,RU,52.0508,44.3451,04/30/21,            48.04,85,90,14.97
545467,Konëvo,RU,62.1215,39.3192,04/30/21,            30.78,69,74,4.32
3645532,Ciudad Bolivar,VE,8.1222,-63.5497,04/30/21,            78.57,67,97,0.58
2065594,Mount Isa,AU,-20.7333,139.5,04/30/21,            71.6,53,0,4.61
780643,Bjørnevatn,NO,69.6672,29.9847,04/30/21,            21.2,86,40,8.05
1504382,Kargasok,RU,59.0556,80.8572,04/30/21,            35.31,90,10,9.71
4791259,Virginia Beach,US,36.8529,-75.978,04/30/21,            77.25,24,40,13.8
3693584,Pimentel,PE,-6.8367,-79.9342,04/30/21,            68.09,73,90,20.71
3651949,San Cristobal,EC,-0.9045,-89.6174,04/30/21,            80.6,78,20,10.36
3690010,Amalfi,CO,6.9102,-75.0776,04/30/21,            59.97,98,99,2.73
2020738,Litovko,RU,49.2361,135.1742,04/30/21,            41.72,57,5,10.76
3661894,Tonantins,BR,-2.8731,-67.8022,04/30/21,            72.63,99,100,2.06
2120612,Tigil',RU,57.8,158.6667,04/30/21,            37.63,81,100,6.33
5745380,Pendleton,US,45.6721,-118.7886,04/30/21,            73.8,38,75,14.97
3979975,Yaqui,MX,27.3667,-110.1667,04/30/21,            91.4,12,20,14.97
6089245,Norman Wells,CA,65.282,-126.8329,04/30/21,            46.4,36,20,11.5
1487112,Vikulovo,RU,56.8167,70.6107,04/30/21,            36.32,53,7,13.4
4031637,Lavrentiya,RU,65.5833,-171,04/30/21,            25.32,69,41,3.13
2129868,Iwanai,JP,42.9744,140.5089,04/30/21,            43.63,87,100,7.14
4470244,Havelock,US,34.8791,-76.9013,04/30/21,            78.6,32,71,11.99
2374583,Bubaque,GW,11.2833,-15.8333,04/30/21,            78.66,70,39,16.82
6096551,Pangnirtung,CA,66.1451,-65.7125,04/30/21,            32,93,75,6.91
1636426,Manggar,ID,-2.8833,108.2667,04/30/21,            81.43,77,100,3.4
6137462,Saint-Augustin,CA,51.226,-58.6502,04/30/21,            41.11,79,84,15.95
286245,Sur,OM,22.5667,59.5289,04/30/21,            83.82,43,69,4.36
6049403,Langham,CA,52.3668,-106.9679,04/30/21,            73.81,25,75,12.66
2184707,Wanaka,NZ,-44.7,169.15,04/30/21,            50.77,69,35,1.23
304797,Mardin,TR,37.3131,40.7436,04/30/21,            66.2,52,19,9.22
6071421,Meadow Lake,CA,54.1335,-108.4347,04/30/21,            69.8,23,75,23.02
211647,Lodja,CD,-3.4833,23.4333,04/30/21,            69.35,99,89,1.01
2428394,Mao,TD,14.1212,15.3103,04/30/21,            84.04,4,4,11.83
3176748,Forio,IT,40.7342,13.8646,04/30/21,            66.25,56,0,1.14
1606587,Samut Sakhon,TH,13.5833,100.3,04/30/21,            78.67,87,95,3.44
3441890,Departamento de Maldonado,UY,-34.6667,-54.9167,04/30/21,            63.68,77,0,9.22
336454,Ginir,ET,7.1333,40.7,04/30/21,            56.98,88,92,3.51
140463,Birjand,IR,32.8663,59.2211,04/30/21,            62.6,48,40,4.61
2294915,Takoradze,GH,4.8845,-1.7554,04/30/21,            81.82,79,82,5.99
1624041,Ternate,ID,0.8,127.4,04/30/21,            81.43,76,27,2.46
904422,Mumbwa,ZM,-14.9783,27.0619,04/30/21,            64.29,91,92,1.12
1514792,Gazojak,TM,41.1875,61.4036,04/30/21,            60.8,43,14,15.9
2122389,Ossora,RU,59.2353,163.0719,04/30/21,            34.32,86,42,3.15
333795,Jijiga,ET,9.35,42.8,04/30/21,            65.19,78,96,1.79
2139521,Noumea,NC,-22.2763,166.4572,04/30/21,            78.93,53,0,3.44
1501000,Kyshtovka,RU,56.555,76.6271,04/30/21,            40.86,91,99,14.9
4034438,Haapiti,PF,-17.5667,-149.8667,04/30/21,            86,70,75,4.61
1632998,Pamanukan,ID,-6.2842,107.8106,04/30/21,            76.17,89,100,6.15
1006984,East London,ZA,-33.0153,27.9116,04/30/21,            62.35,76,86,14.25
3670218,San Andrés,CO,12.5847,-81.7006,04/30/21,            86,62,20,6.91
187896,Mandera,KE,3.9366,41.867,04/30/21,            85.15,54,96,8.75
1496476,Nyagan,RU,62.1406,65.3936,04/30/21,            27.12,93,43,3.98
1631637,Pemangkat,ID,1.1667,108.9667,04/30/21,            75.78,89,100,5.1
2112309,Katsuura,JP,35.1333,140.3,04/30/21,            62.17,77,20,5.75
5943865,Duncan,CA,48.7829,-123.7027,04/30/21,            63.64,63,40,11.5
3839307,Rawson,AR,-43.3002,-65.1023,04/30/21,            65.64,33,100,2.91
2140466,Moindou,NC,-21.6924,165.677,04/30/21,            78.8,53,0,3.44
2447513,Arlit,NE,18.7369,7.3853,04/30/21,            88.05,5,0,8.81
2062276,Roebourne,AU,-20.7833,117.1333,04/30/21,            80.83,36,4,5.79
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,04/30/21,            55.4,71,20,2.3
1855540,Naze,JP,28.3667,129.4833,04/30/21,            71.6,83,75,23.02
2122493,Omsukchan,RU,62.5333,155.8,04/30/21,            28.26,83,99,4.41
2012956,Yerbogachën,RU,61.2767,108.0108,04/30/21,            35.29,85,100,8.59
1623197,Tual,ID,-5.6667,132.75,04/30/21,            83.5,73,27,14.05
8079926,Labuhan,ID,-6.8844,112.2051,04/30/21,            77.77,87,91,5.91
1282898,Pokhara,NP,28.2333,83.9833,04/30/21,            71.82,34,89,5.14
1715335,Davila,PH,18.4726,120.5763,04/30/21,            71.6,94,20,2.3
1498161,Muzhi,RU,65.3667,64.6667,04/30/21,            11.73,89,42,1.86
1731248,Alugan,PH,12.2188,125.4808,04/30/21,            80.69,72,97,2.91
4504598,Ventnor City,US,39.3404,-74.4774,04/30/21,            61.81,42,75,23.02
1529484,Kumul,CN,42.8,93.45,04/30/21,            70.48,13,14,8.08
2033934,Xiaoshi,CN,41.2971,124.1209,04/30/21,            35.6,93,100,1.45
1581349,Ha Giang,VN,22.8333,104.9833,04/30/21,            71.74,94,62,0.54
2122783,Katangli,RU,51.7102,143.2326,04/30/21,            33.57,92,100,13.87
2156927,Moree,AU,-29.4667,149.85,04/30/21,            64.4,68,5,9.22
1502073,Krasnosel'kup,RU,65.7,82.4667,04/30/21,            31.39,92,100,12.77
878281,Lindi,TZ,-10,39.7167,04/30/21,            75.2,100,20,8.05
2063042,Port Hedland,AU,-20.3167,118.5667,04/30/21,            69.8,78,2,8.05
5517061,Big Spring,US,32.2504,-101.4787,04/30/21,            68,60,90,9.22
1180983,Chuchar-kana Mandi,PK,31.75,73.8,04/30/21,            84.2,34,40,5.66
3495137,Pedernales,DO,18.0384,-71.744,04/30/21,            81.37,66,10,5.19
2442248,Kollo,NE,13.3043,2.339,04/30/21,            96.8,12,16,1.14
2158767,Mareeba,AU,-17,145.4333,04/30/21,            73.99,73,24,10.36
1802550,Longkou,CN,37.6508,120.3286,04/30/21,            48.74,84,5,12.5
2026160,Borogontsy,RU,62.6683,131.1683,04/30/21,            34.79,94,100,3.69
2037252,Genhe,CN,50.7833,121.5167,04/30/21,            36.99,84,93,3.47
4015700,Cananea,MX,30.95,-110.3,04/30/21,            71.56,26,3,3
932987,Tsabong,BW,-26.0217,22.401,04/30/21,            58.3,39,0,8.23
752584,Akçakoca,TR,41.0866,31.1162,04/30/21,            60.75,82,20,5.55
1795632,Shenjiamen,CN,29.9576,122.298,04/30/21,            62.44,90,56,8.16
1071296,Antalaha,MG,-14.9003,50.2788,04/30/21,            73.63,91,7,5.75
2064735,Nhulunbuy,AU,-12.2333,136.7667,04/30/21,            78.8,83,68,8.05
6174254,Viking,CA,53.1001,-111.7684,04/30/21,            73.4,17,56,12.66
610298,Beyneu,KZ,45.3167,55.2,04/30/21,            61.61,42,97,14
1785738,Yuncheng,CN,35.0231,110.9928,04/30/21,            60.17,36,13,3.29
1710618,Ipil,PH,7.75,122.5167,04/30/21,            78.4,84,86,2.55
6145890,Shelburne,CA,44.0787,-80.2041,04/30/21,            40.19,84,99,20
1153555,Chumphon,TH,10.3333,98.8333,04/30/21,            71.46,95,99,0.94
